,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
100,002890.SZ,20231124,14.5,0.5995,1.0174,0.86,83.7973,84.5572,3.2443,4.7658,5.0923,0.4926,0.6897,13067.32,12421.8624,7320.1001,189476.14,180117.0048,0
101,600129.SH,20231124,44.96,2.4922,3.9986,0.99,71.5974,29.151,6.566,1.782,1.5958,0.0,,55689.0744,55689.0744,34708.7759,2503780.785,2503780.785,0
102,603029.SH,20231124,22.18,16.2204,38.9859,4.09,46.8978,32.4204,3.2781,4.1581,3.391,0.3815,0.6402,12134.2,12134.2,5048.5248,269136.556,269136.556,0
103,688166.SH,20231124,37.6,3.9622,6.4483,0.71,66.2903,67.9443,6.8997,15.6141,13.695,,,42246.5363,42246.5363,25958.4727,1588469.7649,1588469.7649,0
104,000957.SZ,20231124,10.25,3.483,5.2019,0.67,61.807,47.3328,2.2218,1.1518,1.1736,0.0,,59290.3936,59290.3936,39698.1056,607726.5344,607726.5344,0
105,002903.SZ,20231124,20.86,7.0955,8.3305,1.2,57.3032,78.3309,4.0585,8.8749,9.0183,0.9594,0.7191,15223.5,9937.1233,8463.8587,317562.21,207288.392,0
106,300952.SZ,20231124,21.36,2.6625,2.6625,0.86,25.5494,27.4045,2.8212,3.4816,3.4428,0.5127,0.8864,14557.4507,4485.2653,4485.2653,310947.147,95805.2668,0
107,600837.SH,20231124,9.91,0.1828,0.2048,0.74,19.7799,26.7957,0.7753,4.9894,4.3763,3.0272,2.1191,1306420.0,887338.118,791867.549,12946622.2,8793520.7494,0
108,000948.SZ,20231124,16.43,2.2609,3.5536,1.08,47.2703,45.986,2.6072,0.7563,0.7272,0.3043,0.3043,39436.0697,38109.7443,24246.6703,647934.6252,626143.0988,0
109,603889.SH,20231124,7.06,0.3636,0.6683,0.74,12.9786,12.5502,1.6266,1.2806,1.1667,3.0352,4.0469,71644.4943,71644.4943,38980.4356,505810.1298,505810.1298,0
110,002438.SZ,20231124,10.49,0.5283,0.7548,0.78,23.3973,21.2892,1.7027,2.7232,2.596,0.4766,0.4766,50753.7461,46892.7017,32819.8324,532406.7966,491904.4408,0
111,301155.SZ,20231124,62.0,1.4544,1.524,0.82,65.7235,457.7191,2.4009,8.255,6.6819,1.4516,0.1613,21739.1478,8880.9282,8475.5794,1347827.1636,550617.5484,0
112,300786.SZ,20231124,19.9,3.172,3.509,0.43,203.2943,2728.3434,2.9446,12.5138,10.2494,0.4188,0.1005,18401.5879,13759.9969,12438.2399,366191.5992,273823.9383,0
113,301166.SZ,20231124,43.33,3.183,3.8725,1.19,35.2657,55.4158,1.7687,3.1422,3.0792,1.1539,2.0771,8666.6668,4126.8868,3392.0468,375526.6724,178818.005,0
