ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market
920230.BJ,欧康医药,20250716,16.13,16.2,15.88,16.07,16.03,0.04,7978.05,12757.003,1.708,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250715,16.54,16.54,15.8,16.03,16.35,-0.32,11883.95,19038.779,2.5443,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250714,16.35,16.48,16.26,16.35,16.35,0.0,7329.87,11988.447,1.5693,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250711,16.47,16.62,16.29,16.35,16.35,0.0,14763.91,24272.034,3.1608,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250710,16.32,16.54,16.07,16.35,16.19,0.16,14886.14,24314.399,3.187,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250709,16.7,16.7,16.02,16.19,16.34,-0.15,11190.73,18217.326,2.3958,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250708,16.27,16.65,16.17,16.34,16.3,0.04,14967.77,24526.384,3.2045,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250707,16.61,16.96,16.09,16.3,16.71,-0.41,25885.37,42441.302,5.5418,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250704,16.9,17.49,16.47,16.71,17.03,-0.32,25555.35,43323.669,5.4712,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250703,16.88,17.5,16.76,17.03,17.06,-0.03,29474.65,50527.331,6.3103,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250702,16.7,17.35,16.53,17.06,17.14,-0.08,28309.97,47857.411,6.0609,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250701,16.3,17.5,16.3,17.14,16.37,0.77,46480.44,78831.527,9.9511,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250630,16.45,16.47,16.0,16.37,16.16,0.21,11878.98,19387.158,2.5432,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250627,16.3,16.65,16.0,16.16,16.32,-0.16,15958.98,26080.498,3.4167,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250626,16.27,16.48,16.12,16.32,16.27,0.05,13578.92,22121.131,2.9071,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250625,16.38,16.38,16.02,16.27,16.25,0.02,10507.88,17038.569,2.2496,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250624,15.78,16.27,15.77,16.25,15.85,0.4,16136.18,26078.014,3.4546,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250623,15.58,15.95,15.33,15.85,15.7,0.15,11318.65,17734.823,2.4232,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250620,15.9,15.9,15.42,15.7,15.8,-0.1,10187.25,15932.736,2.181,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250619,16.2,16.29,15.53,15.8,16.2,-0.4,14461.87,22874.678,3.0962,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250618,16.25,16.42,15.81,16.2,16.36,-0.16,20393.51,32766.332,4.3661,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250617,16.46,17.05,16.26,16.36,16.46,-0.1,20343.91,33846.208,4.3555,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250616,16.15,16.63,16.14,16.46,16.27,0.19,19491.53,31852.19,4.173,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250613,17.12,17.32,16.25,16.27,17.26,-0.99,26574.11,44597.594,5.6893,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250612,17.15,17.3,16.74,17.26,17.1,0.16,28997.1,49314.6,6.208,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250611,17.02,17.28,16.68,17.1,17.14,-0.04,29875.15,50732.202,6.396,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250610,17.22,17.6,16.58,17.14,17.2,-0.06,43767.57,75221.013,9.3703,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250609,16.88,17.44,16.68,17.2,16.83,0.37,34950.07,60101.053,7.4825,4670.9014,四川,生物制药,北交所
