ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market
600736.SH,苏州高新,20250707,5.33,5.41,5.32,5.39,5.32,0.07,140581.63,75678.639,1.2211,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250704,5.37,5.37,5.32,5.32,5.36,-0.04,84669.0,45222.662,0.7354,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250703,5.36,5.38,5.34,5.36,5.35,0.01,85995.57,46069.774,0.7469,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250702,5.35,5.37,5.32,5.35,5.35,0.0,87552.41,46771.181,0.7605,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250701,5.36,5.37,5.31,5.35,5.35,0.0,78706.63,41976.353,0.6836,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250630,5.33,5.37,5.3,5.35,5.31,0.04,123677.43,66005.244,1.0742,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250627,5.32,5.36,5.29,5.31,5.31,0.0,104101.42,55481.759,0.9042,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250626,5.31,5.34,5.28,5.31,5.32,-0.01,92375.91,49076.589,0.8024,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250625,5.28,5.33,5.24,5.32,5.26,0.06,126145.8,66749.98,1.0957,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250624,5.17,5.26,5.16,5.26,5.17,0.09,79612.83,41657.051,0.6915,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250623,5.11,5.18,5.07,5.17,5.12,0.05,65425.34,33576.343,0.5683,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250620,5.15,5.17,5.12,5.12,5.14,-0.02,55233.37,28412.158,0.4798,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250619,5.25,5.25,5.13,5.14,5.25,-0.11,95119.38,49316.052,0.8262,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250618,5.3,5.31,5.23,5.25,5.31,-0.06,81369.35,42756.583,0.7068,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250617,5.31,5.33,5.29,5.31,5.31,0.0,61150.37,32439.587,0.5311,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250616,5.25,5.35,5.25,5.31,5.27,0.04,76286.0,40513.902,0.6626,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250613,5.33,5.35,5.26,5.27,5.36,-0.09,108515.51,57445.344,0.9426,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250612,5.39,5.39,5.33,5.36,5.4,-0.04,95182.76,50990.006,0.8267,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250611,5.37,5.43,5.37,5.4,5.38,0.02,83755.0,45260.9,0.7275,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250610,5.47,5.48,5.34,5.38,5.46,-0.08,140046.06,75763.964,1.2164,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250609,5.43,5.46,5.42,5.46,5.44,0.02,98726.77,53767.94,0.8575,115129.2907,江苏,园区开发,主板
